date,agency_pmd,media_source,campaign,impressions,clicks,ctr,installs,conversion_rate,sessions,loyal_users,loyal_users_installs,total_cost,average_ecpi,app_name,device
2025-09-10,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,7082,3116,0.4400,4,0.0013,8,0,0.0000,,,Mount Quizmore,ios
2025-09-11,,Organic,,,,,40,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-11,,moloco_int,AA_MountQuizmore_AUS_ijCVfwRgnLAmc8Ml_SEM_ACC13,357,174,0.4874,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-11,,moloco_int,AA_MountQuizmore_BEL_ETTwvAJSwwpNGoBD_RBO_ACC28,62,36,0.5806,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-11,,moloco_int,AA_MountQuizmore_GRC_M4tdQvQM5GBJM9ai_RBO_ACC28,90,34,0.3778,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-11,,moloco_int,AA_MountQuizmore_KOR_ArDIoIqjR0yZgzaL_ZAG_ACC17,911,182,0.1998,1,0.0055,2,0,0.0000,,,Mount Quizmore,ios
2025-09-11,,moloco_int,AA_MountQuizmore_SGP_GLeljPIfzUYqMooY_ZAG_ACC14,124,43,0.3468,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-11,,moloco_int,AA_MountQuizmore_SGP_H0nO9gBzmyZlGpBK_SEM_ACC13,251,120,0.4781,1,0.0083,2,0,0.0000,,,Mount Quizmore,ios
2025-09-11,,moloco_int,AA_MountQuizmore_SGP_wDd1Zo3bc4URdiXT_ZAG_ACC17,220,91,0.4136,1,0.0110,2,0,0.0000,,,Mount Quizmore,ios
2025-09-11,,moloco_int,GB_170_Mol_RDPInApp_Camp258,6895,2627,0.3810,26,0.0099,52,0,0.0000,,,Mount Quizmore,ios
2025-09-11,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,273,126,0.4615,1,0.0079,2,0,0.0000,,,Mount Quizmore,ios
2025-09-11,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,545,259,0.4752,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-12,,Organic,,,,,42,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_AUS_ijCVfwRgnLAmc8Ml_SEM_ACC13,1263,567,0.4489,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_BEL_ETTwvAJSwwpNGoBD_RBO_ACC28,724,321,0.4434,3,0.0093,6,0,0.0000,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_GRC_M4tdQvQM5GBJM9ai_RBO_ACC28,2976,1001,0.3364,3,0.0030,6,0,0.0000,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_GRC_bcmQwJ1GWSbIYaKQ_RBO_ACC28,216,88,0.4074,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_NLD_dNFgssus8YyBEM5P_ZAG_ACC14,42,13,0.3095,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_NLD_e0cxQuhug4fdhh22_SEM_ACC13,80,33,0.4125,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_NLD_rCyzjEdciR3a77kU_ZAG_ACC17,68,27,0.3971,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_SGP_GLeljPIfzUYqMooY_ZAG_ACC14,1693,562,0.3320,3,0.0053,6,0,0.0000,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_SGP_H0nO9gBzmyZlGpBK_SEM_ACC13,2033,807,0.3970,3,0.0037,6,0,0.0000,,,Mount Quizmore,ios
2025-09-12,,moloco_int,AA_MountQuizmore_SGP_wDd1Zo3bc4URdiXT_ZAG_ACC17,1894,644,0.3400,2,0.0031,4,0,0.0000,,,Mount Quizmore,ios
2025-09-12,,moloco_int,GB_170_Mol_RDPInApp_Camp258,10197,3926,0.3850,31,0.0079,62,0,0.0000,,,Mount Quizmore,ios
2025-09-12,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,2094,879,0.4198,2,0.0023,4,0,0.0000,,,Mount Quizmore,ios
2025-09-12,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,117,47,0.4017,1,0.0213,2,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,Organic,,,,,42,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,moloco_int,AA_MountQuizmore_AUS_ijCVfwRgnLAmc8Ml_SEM_ACC13,1438,667,0.4638,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-13,,moloco_int,AA_MountQuizmore_GRC_MOGiRQkOcWZdSGfW_RBO_ACC28,2955,929,0.3144,3,0.0032,6,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,moloco_int,AA_MountQuizmore_GRC_bcmQwJ1GWSbIYaKQ_RBO_ACC28,1797,793,0.4413,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-13,,moloco_int,AA_MountQuizmore_NLD_dNFgssus8YyBEM5P_ZAG_ACC14,405,144,0.3556,1,0.0069,2,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,moloco_int,AA_MountQuizmore_NLD_e0cxQuhug4fdhh22_SEM_ACC13,733,288,0.3929,3,0.0104,6,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,moloco_int,AA_MountQuizmore_NLD_rCyzjEdciR3a77kU_ZAG_ACC17,494,188,0.3806,1,0.0053,2,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,moloco_int,AA_MountQuizmore_SGP_H0nO9gBzmyZlGpBK_SEM_ACC13,,,,1,,2,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,moloco_int,GB_170_Mol_RDPInApp_Camp258,13263,5318,0.4010,55,0.0103,110,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,1149,519,0.4517,1,0.0019,2,0,0.0000,,,Mount Quizmore,ios
2025-09-13,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,1789,773,0.4321,1,0.0013,2,0,0.0000,,,Mount Quizmore,ios
2025-09-14,,Organic,,,,,74,,0,0,0.0000,,,Mount Quizmore,ios
